,precision,recall,f1-score,support
weighted-graphs,0.6530612244897959,0.6037735849056604,0.6274509803921569,106.0
word-combinatorics,1.0,1.0,1.0,27.0
xor,0.7857142857142857,0.6875,0.7333333333333333,16.0
micro avg,0.7263983678624342,0.726557185890584,0.7264777681965581,41164.0
macro avg,0.8171179640567898,0.7003648098071661,0.7303087702831182,41164.0
weighted avg,0.732777733930251,0.726557185890584,0.7172810283950153,41164.0
samples avg,0.7403629230778819,0.7459102211752389,0.7132580832914559,41164.0
hamming_loss,0.004576691126084274,0.004576691126084274,0.004576691126084274,15282.0
subset_accuracy,0.25042533699777514,0.25042533699777514,0.25042533699777514,15282.0
ndcg_at_5,0.8558912809150112,0.8558912809150112,0.8558912809150112,15282.0
