epoch,time_sec,train_loss,train_acc,val_loss,val_acc,lr
1,11.987487316131592,4.617848168323336,0.015896820635872826,4.437458795432461,0.0576057605760576,1e-05
2,11.70770001411438,4.392913129276763,0.07048590281943612,4.078283931698986,0.1416141614161416,9.938441702975689e-06
3,11.733077764511108,4.093389951903876,0.1235752849430114,3.6670617381982034,0.1707170717071707,9.755282581475769e-06
4,11.619598388671875,3.7806265561539183,0.15896820635872824,3.321930979165879,0.2157215721572157,9.45503262094184e-06
5,11.667304277420044,3.518754020735541,0.20185962807438512,3.0637736086583587,0.25802580258025803,9.045084971874738e-06
6,11.648070335388184,3.289156557774215,0.25374925014997,2.853858912774403,0.2808280828082808,8.535533905932739e-06
7,11.662144660949707,3.1163745364101616,0.2690461907618476,2.6275912660970153,0.34923492349234925,7.938926261462368e-06
8,11.769605159759521,2.9707685480878676,0.3062387522495501,2.4969523978812753,0.35913591359135916,7.269952498697736e-06
9,11.660555601119995,2.8312575382319625,0.3344331133773245,2.383500712289132,0.38133813381338133,6.5450849718747394e-06
10,11.632140398025513,2.7367403615929797,0.35242951409718054,2.2666839755693786,0.40804080408040805,5.7821723252011565e-06
11,11.624571561813354,2.62439257868336,0.3812237552489502,2.203372262957001,0.4221422142214221,5.000000000000001e-06
12,11.68597412109375,2.559119543774656,0.397120575884823,2.162101949473741,0.4308430843084308,4.217827674798848e-06
13,11.700998544692993,2.4894934025222697,0.4205158968206359,2.0942768916116616,0.4371437143714371,3.454915028125264e-06
14,11.659647226333618,2.4580792469683708,0.42081583683263346,2.063845045746106,0.44494449444944495,2.7300475013022666e-06
15,11.645737648010254,2.424698650586655,0.42501499700059986,2.051813536923532,0.45574557455745573,2.061073738537635e-06
16,11.654909610748291,2.4057160768240027,0.4259148170365927,2.020207061375579,0.45484548454845486,1.4644660940672626e-06
17,11.64650297164917,2.3758478779669785,0.44571085782843434,2.0012525340439926,0.45724572457245727,9.549150281252633e-07
18,11.682965993881226,2.374251038998133,0.4454109178164367,2.000003407676049,0.46684668466846685,5.449673790581611e-07
19,11.670776844024658,2.356244399580472,0.45290941811637675,2.0011561498461705,0.46144614461446143,2.447174185242324e-07
20,11.72335934638977,2.333224264389752,0.45140971805638874,2.0078194713649755,0.45694569456945694,6.155829702431172e-08
