epoch,time_sec,train_loss,train_acc,val_loss,val_acc,lr
1,24.924796104431152,4.551154602482137,0.05458908218356329,3.778374911999867,0.10621062106210621,5e-05
2,24.660287618637085,3.4922970552679016,0.15866826634673065,2.967836107465193,0.22502250225022502,4.9692208514878444e-05
3,24.677098274230957,2.893891089679098,0.2594481103779244,2.544345681173037,0.2976297629762976,4.877641290737884e-05
4,24.688336849212646,2.479288761817415,0.35272945410917816,2.2440452047414405,0.37233723372337235,4.72751631047092e-05
5,24.68883204460144,2.1858828700654294,0.4205158968206359,2.011533770552634,0.43984398439843986,4.522542485937369e-05
6,24.666285514831543,1.8705676972830303,0.495500899820036,1.8487834461165233,0.46054605460546055,4.267766952966369e-05
7,24.677037000656128,1.6632236258741904,0.5473905218956209,1.7462854562598307,0.49144914491449143,3.969463130731183e-05
8,24.692787170410156,1.5516264548756509,0.5773845230953809,1.6918796898365165,0.51995199519952,3.634976249348867e-05
9,24.685755968093872,1.3345507125190867,0.6364727054589082,1.6115880680091381,0.5394539453945395,3.272542485937369e-05
10,24.677211046218872,1.2582149499536777,0.6481703659268147,1.578435792316376,0.5433543354335434,2.891086162600578e-05
11,24.689341068267822,1.1515089383937673,0.6931613677264548,1.5279237173884401,0.5496549654965497,2.5000000000000005e-05
12,24.684102058410645,1.077969992489749,0.6994601079784043,1.498284035023361,0.564956495649565,2.108913837399424e-05
13,24.696985483169556,0.9845901456112338,0.7348530293941212,1.4543583899056844,0.5757575757575758,1.727457514062632e-05
14,24.69692063331604,0.9488969554640821,0.7438512297540492,1.4496635346218805,0.5775577557755776,1.3650237506511335e-05
15,24.70401358604431,0.8820171382660342,0.7624475104979004,1.4402665352941166,0.5772577257725773,1.0305368692688178e-05
16,24.688316106796265,0.8721619488310514,0.7738452309538092,1.4207293761588415,0.5817581758175817,7.322330470336315e-06
17,24.685235500335693,0.8391622481549222,0.7738452309538092,1.4187945317719528,0.585958595859586,4.774575140626317e-06
18,24.677586793899536,0.8397911051182098,0.7843431313737252,1.414748305704656,0.5835583558355836,2.7248368952908057e-06
19,24.68828845024109,0.8020134051679564,0.7939412117576484,1.4096008593028206,0.5835583558355836,1.2235870926211619e-06
20,24.695222854614258,0.8119390646032609,0.7924415116976604,1.4081116560662146,0.5844584458445845,3.0779148512155856e-07
