epoch,time_sec,train_loss,train_acc,val_loss,val_acc,lr
1,25.15538454055786,4.023066524695549,0.1274745050989802,2.7846283741695474,0.2715271527152715,5e-05
2,24.921630382537842,1.976262801410055,0.45830833833233353,1.996693721680966,0.43534353435343537,4.9692208514878444e-05
3,24.932910203933716,1.0384812163748853,0.6898620275944811,1.6281708392708323,0.5427542754275427,4.877641290737884e-05
4,24.921355485916138,0.6145100739002943,0.8164367126574685,1.638513641156415,0.564956495649565,4.72751631047092e-05
5,24.93966555595398,0.3969599935927288,0.8764247150569886,1.449693524847609,0.6126612661266126,4.522542485937369e-05
6,24.932390451431274,0.24158745583082003,0.9346130773845231,1.5266109755580717,0.6117611761176117,4.267766952966369e-05
7,24.925892114639282,0.15527814017060138,0.9544091181763648,1.4190339829181449,0.6258625862586259,3.969463130731183e-05
8,24.948670625686646,0.11670435923942207,0.9706058788242351,1.5315419354970896,0.6054605460546054,3.634976249348867e-05
9,24.900402307510376,0.08085960449106727,0.97750449910018,1.4847516968260648,0.633063306330633,3.272542485937369e-05
10,24.944124937057495,0.05105366244443972,0.9871025794841032,1.4703552947216745,0.6429642964296429,2.891086162600578e-05
11,24.93563222885132,0.03255101718258808,0.9919016196760648,1.443598325858594,0.6501650165016502,2.5000000000000005e-05
12,24.944976329803467,0.023503801797630616,0.9946010797840432,1.443267973719409,0.6522652265226523,2.108913837399424e-05
13,24.95132303237915,0.01629014158494051,0.9961007798440312,1.4476013382004858,0.660966096609661,1.727457514062632e-05
14,24.959256410598755,0.008283371594916062,0.9982003599280144,1.37322284607566,0.6744674467446745,1.3650237506511335e-05
15,24.936553239822388,0.0035165089049030724,0.9994001199760048,1.3311171356679834,0.6822682268226823,1.0305368692688178e-05
16,24.920528411865234,0.002270914925010995,1.0,1.332154304398599,0.6843684368436843,7.322330470336315e-06
17,24.95459532737732,0.002219115514375256,0.9991001799640072,1.3156341192818786,0.6861686168616862,4.774575140626317e-06
18,24.970614433288574,0.0020951295045982983,0.9994001199760048,1.3185038731701768,0.6843684368436843,2.7248368952908057e-06
19,24.94420337677002,0.000865467592188893,1.0,1.3160562296245,0.684968496849685,1.2235870926211619e-06
20,24.934767484664917,0.0011520929651750542,1.0,1.3154489092236892,0.684068406840684,3.0779148512155856e-07
