epoch,time_sec,train_loss,train_acc,val_loss,val_acc,lr
1,11.96104097366333,4.32915949249382,0.0635872825434913,3.4707531821717024,0.1542154215421542,0.0001
2,11.72771668434143,3.4101625265442976,0.18086382723455308,2.649603431517392,0.282028202820282,9.938441702975689e-05
3,11.611793279647827,2.816923361877231,0.28224355128974205,2.3133493969113554,0.31563156315631563,9.755282581475769e-05
4,11.639244079589844,2.464135370357493,0.35602879424115175,1.9018256895684496,0.43594359435943597,9.45503262094184e-05
5,11.697782754898071,2.149547538431233,0.42231553689262147,1.6884939083279056,0.4665466546654665,9.045084971874738e-05
6,11.72507381439209,1.9108056924839398,0.4928014397120576,1.5236384943373527,0.5376537653765376,8.535533905932738e-05
7,11.704677104949951,1.7202097259743456,0.5353929214157168,1.3581269781241858,0.5733573357335734,7.938926261462366e-05
8,11.674448490142822,1.5670714042253957,0.5665866826634673,1.293126978773703,0.5943594359435943,7.269952498697734e-05
9,11.647300481796265,1.423936565907758,0.5989802039592081,1.2374236336675914,0.6138613861386139,6.545084971874738e-05
10,11.614239931106567,1.3257001208629735,0.6331733653269346,1.12924433872439,0.6441644164416441,5.782172325201156e-05
11,11.67105484008789,1.248936057305293,0.6559688062387522,1.0379735225587503,0.6624662466246625,5.000000000000001e-05
12,11.666105508804321,1.1599894842131808,0.6742651469706059,1.062412059637043,0.6588658865886589,4.217827674798848e-05
13,11.646502017974854,1.106663804820861,0.6988602279544092,0.9656794046580193,0.693069306930693,3.454915028125264e-05
14,11.637012243270874,0.980359729850943,0.7411517696460708,0.9552552542324239,0.6984698469846985,2.730047501302267e-05
15,11.650835514068604,0.9658328072353974,0.7393521295740851,0.8904430277840067,0.7200720072007201,2.0610737385376356e-05
16,11.634745359420776,0.9347305203456684,0.7564487102579485,0.8795872359256325,0.7203720372037203,1.464466094067263e-05
17,11.720990657806396,0.8916659834289093,0.7660467906418716,0.8640573519582984,0.7341734173417341,9.549150281252635e-06
18,11.718127965927124,0.8873558455623405,0.7645470905818836,0.8650244737036712,0.7248724872487249,5.4496737905816115e-06
19,11.619601964950562,0.8690381908245121,0.7789442111577685,0.8550089349259924,0.7338733873387339,2.4471741852423237e-06
20,11.724683284759521,0.8632630786998728,0.7768446310737852,0.865986395134355,0.7350735073507351,6.155829702431171e-07
