epoch,time_sec,train_loss,train_acc,val_loss,val_acc,lr
1,24.925058364868164,4.1544129104763,0.10077984403119376,3.2100091592849926,0.186018601860186,5e-05
2,24.664199829101562,2.5926158595528515,0.3233353329334133,2.493784417699773,0.3282328232823282,4.9692208514878444e-05
3,24.665568351745605,1.7713591494671799,0.5167966406718656,2.091328343614028,0.43204320432043203,4.877641290737884e-05
4,24.66247844696045,1.1895209562478126,0.673365326934613,1.8780005986076056,0.47914791479147917,4.72751631047092e-05
5,24.66880965232849,0.8167759591616337,0.7765446910617877,1.7385088570154432,0.5178517851785178,4.522542485937369e-05
6,24.676469564437866,0.5657532424646433,0.8560287942411517,1.6768675553630574,0.5307530753075308,4.267766952966369e-05
7,24.70694875717163,0.38631747937445593,0.904619076184763,1.635343451740289,0.5472547254725473,3.969463130731183e-05
8,24.722189903259277,0.263978261181031,0.9427114577084583,1.5831007403079862,0.5685568556855686,3.634976249348867e-05
9,24.695730209350586,0.1809804706192331,0.9661067786442712,1.627589253523741,0.5598559855985599,3.272542485937369e-05
10,24.685500860214233,0.1394208862363005,0.9754049190161967,1.588219006301904,0.5748574857485749,2.891086162600578e-05
11,24.701488256454468,0.10492495669082173,0.9832033593281344,1.5548993364365438,0.5835583558355836,2.5000000000000005e-05
12,24.706708431243896,0.0778274875811352,0.9904019196160768,1.5538642304887151,0.5862586258625863,2.108913837399424e-05
13,24.70677661895752,0.05554603733654214,0.9943011397720456,1.5790579976833086,0.5874587458745875,1.727457514062632e-05
14,24.721606016159058,0.047243572874346676,0.9949010197960408,1.556796227494339,0.5892589258925892,1.3650237506511335e-05
15,24.678860425949097,0.037452949974160744,0.997000599880024,1.556877366932455,0.5892589258925892,1.0305368692688178e-05
16,24.69475483894348,0.03275307652724311,0.9982003599280144,1.5483667285117593,0.5913591359135913,7.322330470336315e-06
17,24.69358229637146,0.0293660272213384,0.997000599880024,1.53412891984737,0.5961596159615962,4.774575140626317e-06
18,24.69411325454712,0.02112769574847633,1.0,1.5286880151631057,0.5982598259825983,2.7248368952908057e-06
19,24.69063973426819,0.02265680894193066,0.9991001799640072,1.5292193401228227,0.5985598559855986,1.2235870926211619e-06
20,24.713829517364502,0.02130577498270354,0.9988002399520096,1.5285853614794254,0.5967596759675967,3.0779148512155856e-07
