,precision,recall,f1-score,support
1208,0.0,0.0,0.0,0.0
1209,0.0,0.0,0.0,0.0
121,0.004132231404958678,1.0,0.00823045267489712,1.0
1211,0.0,0.0,0.0,0.0
1216,0.0,0.0,0.0,6.0
1217,0.2857142857142857,0.4,0.3333333333333333,5.0
1218,0.0,0.0,0.0,0.0
1219,0.0,0.0,0.0,0.0
1220,0.0,0.0,0.0,0.0
1224,0.060215053763440864,0.7567567567567568,0.11155378486055777,37.0
1225,0.0,0.0,0.0,0.0
1227,0.0,0.0,0.0,0.0
1228,0.0,0.0,0.0,3.0
1229,0.0,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0
1230,0.0,0.0,0.0,0.0
1231,0.0,0.0,0.0,0.0
1232,1.0,0.5,0.6666666666666666,2.0
1233,0.03937007874015748,0.8823529411764706,0.07537688442211055,17.0
1234,0.0,0.0,0.0,17.0
1235,0.0,0.0,0.0,1.0
1236,0.0,0.0,0.0,0.0
1238,0.0,0.0,0.0,1.0
1239,0.0,0.0,0.0,3.0
1240,0.0,0.0,0.0,2.0
1241,1.0,1.0,1.0,1.0
1247,0.0,0.0,0.0,0.0
1248,0.0,0.0,0.0,0.0
1249,0.0,0.0,0.0,0.0
1250,0.0,0.0,0.0,3.0
1252,0.0,0.0,0.0,16.0
1253,0.0,0.0,0.0,0.0
1254,0.0,0.0,0.0,4.0
1255,0.0,0.0,0.0,31.0
1256,0.0,0.0,0.0,0.0
1258,0.07142857142857142,0.08,0.07547169811320754,25.0
1260,0.0,0.0,0.0,2.0
1261,0.8695652173913043,0.9090909090909091,0.8888888888888888,22.0
1262,0.0,0.0,0.0,1.0
1264,0.8301886792452831,0.5714285714285714,0.676923076923077,77.0
1265,0.3333333333333333,1.0,0.5,1.0
1266,0.0,0.0,0.0,1.0
1267,0.0,0.0,0.0,3.0
1268,0.0,0.0,0.0,0.0
1269,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0
1270,0.3333333333333333,0.25,0.2857142857142857,16.0
1273,0.0,0.0,0.0,2.0
1274,0.0,0.0,0.0,3.0
1275,0.0,0.0,0.0,2.0
1277,0.0,0.0,0.0,75.0
1279,0.0,0.0,0.0,7.0
128,0.0,0.0,0.0,0.0
1280,0.0,0.0,0.0,6.0
1281,0.0,0.0,0.0,0.0
1283,0.0,0.0,0.0,0.0
1284,0.0,0.0,0.0,35.0
1287,0.0,0.0,0.0,0.0
1288,0.0,0.0,0.0,0.0
1290,0.0,0.0,0.0,2.0
1294,1.0,0.14285714285714285,0.25,7.0
1295,0.0,0.0,0.0,0.0
1296,0.0,0.0,0.0,0.0
1298,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,142.0
1300,0.0,0.0,0.0,0.0
1301,0.0,0.0,0.0,0.0
1302,0.0,0.0,0.0,1.0
1303,0.0,0.0,0.0,0.0
1308,0.0,0.0,0.0,6.0
1309,0.0,0.0,0.0,501.0
1310,0.0,0.0,0.0,1.0
1311,0.0,0.0,0.0,2.0
1313,0.0,0.0,0.0,1.0
1315,0.0,0.0,0.0,0.0
1316,0.0,0.0,0.0,1.0
1317,0.0,0.0,0.0,0.0
1318,0.0,0.0,0.0,112.0
1319,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,2.0
1321,0.0,0.0,0.0,3.0
1322,0.0,0.0,0.0,0.0
1326,0.0,0.0,0.0,1.0
1327,0.0,0.0,0.0,0.0
1328,0.0,0.0,0.0,0.0
1329,0.0,0.0,0.0,7.0
133,0.05454545454545454,0.1875,0.08450704225352113,32.0
1330,0.0,0.0,0.0,1.0
1331,0.0,0.0,0.0,0.0
1332,0.0,0.0,0.0,1.0
1333,0.0,0.0,0.0,0.0
1334,0.0,0.0,0.0,0.0
1335,0.0,0.0,0.0,3.0
1338,0.0,0.0,0.0,28.0
1339,0.0023612750885478157,0.3333333333333333,0.004689331770222743,12.0
134,0.0,0.0,0.0,4.0
1340,0.0,0.0,0.0,0.0
1342,0.0,0.0,0.0,0.0
1343,0.0,0.0,0.0,0.0
1346,0.0,0.0,0.0,2.0
1348,0.0,0.0,0.0,0.0
1349,0.0,0.0,0.0,0.0
1352,0.0,0.0,0.0,1.0
1354,0.0,0.0,0.0,2.0
1355,0.0,0.0,0.0,12.0
1356,0.0,0.0,0.0,1.0
1357,0.0,0.0,0.0,3.0
136,0.0,0.0,0.0,6.0
1360,0.0,0.0,0.0,3.0
1361,0.0,0.0,0.0,2.0
1362,0.0,0.0,0.0,10.0
1363,0.0,0.0,0.0,0.0
1364,0.0,0.0,0.0,0.0
1365,0.0,0.0,0.0,0.0
1366,0.0,0.0,0.0,0.0
1367,0.0,0.0,0.0,0.0
1368,0.25,0.09090909090909091,0.13333333333333333,11.0
1369,0.0,0.0,0.0,0.0
1370,0.0,0.0,0.0,1.0
1371,0.0,0.0,0.0,1.0
1372,0.07142857142857142,0.09090909090909091,0.08,22.0
1373,0.0,0.0,0.0,0.0
1374,0.0,0.0,0.0,36.0
1375,0.0,0.0,0.0,2.0
1377,0.0,0.0,0.0,13.0
1378,0.0,0.0,0.0,1.0
1379,0.0,0.0,0.0,5.0
138,0.0,0.0,0.0,0.0
1380,0.0,0.0,0.0,0.0
1381,0.0,0.0,0.0,0.0
1382,0.0,0.0,0.0,1.0
1383,0.0,0.0,0.0,1.0
1384,0.0,0.0,0.0,0.0
1385,0.0,0.0,0.0,0.0
1386,0.0,0.0,0.0,2.0
1387,0.0,0.0,0.0,1.0
1388,0.0,0.0,0.0,0.0
1389,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,8.0
1390,0.0,0.0,0.0,0.0
1391,0.0,0.0,0.0,12.0
1392,0.0,0.0,0.0,1.0
1393,0.0,0.0,0.0,1.0
1394,0.125,0.07142857142857142,0.09090909090909091,14.0
1395,0.25,0.125,0.16666666666666666,8.0
1396,0.0,0.0,0.0,0.0
1397,0.0,0.0,0.0,2.0
1398,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,10.0
1400,0.0,0.0,0.0,2.0
1401,0.0,0.0,0.0,3.0
1402,0.0,0.0,0.0,0.0
1403,0.0,0.0,0.0,0.0
1404,0.0,0.0,0.0,0.0
1405,0.0,0.0,0.0,2.0
1406,0.0,0.0,0.0,7.0
141,0.0,0.0,0.0,0.0
1410,0.0,0.0,0.0,0.0
1411,0.0,0.0,0.0,0.0
1412,0.0,0.0,0.0,1.0
1413,0.0,0.0,0.0,0.0
1414,0.0,0.0,0.0,1.0
1415,0.0,0.0,0.0,0.0
1416,0.0,0.0,0.0,2.0
1417,0.3333333333333333,0.25,0.2857142857142857,8.0
1418,0.0,0.0,0.0,3.0
142,0.0,0.0,0.0,8.0
1421,0.0,0.0,0.0,0.0
1422,0.0,0.0,0.0,3.0
1423,0.0,0.0,0.0,3.0
1424,0.0,0.0,0.0,1.0
1425,0.0,0.0,0.0,34.0
1426,0.025,1.0,0.04878048780487805,1.0
1427,0.0,0.0,0.0,0.0
1428,0.0,0.0,0.0,0.0
1429,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,1.0
1430,0.0,0.0,0.0,0.0
1431,0.0,0.0,0.0,0.0
1432,0.0,0.0,0.0,1.0
1433,0.0,0.0,0.0,7.0
1434,0.0,0.0,0.0,0.0
1435,0.0,0.0,0.0,0.0
1438,0.0,0.0,0.0,1.0
1439,0.0,0.0,0.0,6.0
1440,0.0,0.0,0.0,0.0
1442,0.0,0.0,0.0,65.0
1443,0.0,0.0,0.0,1.0
1444,0.0,0.0,0.0,0.0
1445,0.0,0.0,0.0,167.0
1446,0.0,0.0,0.0,2.0
1447,0.0,0.0,0.0,1.0
1448,0.0,0.0,0.0,7.0
1451,0.0,0.0,0.0,1.0
1452,0.0,0.0,0.0,1.0
1455,0.0,0.0,0.0,0.0
1456,0.0,0.0,0.0,0.0
1458,0.0,0.0,0.0,0.0
1459,0.0,0.0,0.0,0.0
146,0.0,0.0,0.0,0.0
1460,0.0,0.0,0.0,28.0
1462,0.0,0.0,0.0,1.0
1463,0.0,0.0,0.0,1.0
1464,0.0,0.0,0.0,0.0
1465,0.0,0.0,0.0,8.0
1466,0.0,0.0,0.0,1.0
1468,0.0,0.0,0.0,0.0
1469,0.0,0.0,0.0,1.0
1474,0.3069306930693069,0.3522727272727273,0.328042328042328,88.0
1475,0.0,0.0,0.0,1.0
1476,0.0,0.0,0.0,9.0
1477,0.0,0.0,0.0,0.0
1484,0.0,0.0,0.0,0.0
1485,0.0,0.0,0.0,1.0
1486,0.0,0.0,0.0,35.0
1487,0.0,0.0,0.0,0.0
1488,0.0,0.0,0.0,4.0
1489,0.0,0.0,0.0,0.0
1490,0.0,0.0,0.0,0.0
1491,0.0,0.0,0.0,0.0
1492,0.0,0.0,0.0,1.0
1495,0.0,0.0,0.0,0.0
1496,0.0,0.0,0.0,0.0
1499,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0
1500,0.0,0.0,0.0,5.0
1501,0.0,0.0,0.0,4.0
1503,0.0,0.0,0.0,1.0
1504,0.0,0.0,0.0,38.0
1505,0.0,0.0,0.0,6.0
1506,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,13.0
1510,0.0,0.0,0.0,2.0
1511,0.0,0.0,0.0,7.0
1512,0.0,0.0,0.0,1.0
1513,0.0,0.0,0.0,4.0
1514,0.0,0.0,0.0,1.0
1516,0.0,0.0,0.0,0.0
1518,0.0,0.0,0.0,31.0
1519,0.0,0.0,0.0,115.0
152,0.0,0.0,0.0,1.0
1520,0.0,0.0,0.0,18.0
1521,0.0,0.0,0.0,2.0
1522,0.0,0.0,0.0,0.0
1523,0.0,0.0,0.0,0.0
1524,0.0,0.0,0.0,21.0
1525,0.0,0.0,0.0,0.0
1527,0.0,0.0,0.0,0.0
1528,0.018518518518518517,1.0,0.03636363636363636,1.0
1529,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,4.0
1530,0.0,0.0,0.0,1.0
1531,0.0,0.0,0.0,0.0
1532,1.0,0.08333333333333333,0.15384615384615385,12.0
1534,0.0,0.0,0.0,3.0
1537,0.0,0.0,0.0,1.0
1538,0.0,0.0,0.0,0.0
154,0.0,0.0,0.0,0.0
1542,0.0,0.0,0.0,14.0
1545,0.0,0.0,0.0,0.0
1549,0.0,0.0,0.0,1.0
155,0.0,0.0,0.0,7.0
